year,month,day,amount
2022,4,24,39
2022,4,23,0
2022,4,22,62
2022,4,21,75
2022,4,20,55
2022,4,16,1
2022,4,15,54
2022,4,14,41
2022,4,13,42
2022,4,12,42
2022,4,11,63
2022,4,10,0
2022,4,9,0
2022,4,8,65
2022,4,7,45
2022,4,6,32
2022,4,5,0
2022,4,4,0
2022,4,3,0
2022,4,2,44
2022,4,1,33
2022,3,31,33
2022,3,30,36
2022,3,29,32
2022,3,28,43
2022,3,27,0
2022,3,26,0
2022,3,25,33
2022,3,24,25
2022,3,23,34
2022,3,22,44
2022,3,21,40
2022,3,20,0
2022,3,19,0
2022,3,18,0
2022,3,17,0
2022,3,16,1
2022,3,15,0
2022,3,14,1
2022,3,13,0
2022,3,12,0
2022,3,11,30
2022,3,10,43
2022,3,9,26
2022,3,8,30
2022,3,7,26
2022,3,6,0
2022,3,5,0
2022,3,4,35
2022,3,3,23
2022,3,2,21
2022,3,1,30
2022,2,28,33
2022,2,27,0
2022,2,26,0
2022,2,25,42
2022,2,24,42
2022,2,23,32
2022,2,22,21
2022,2,21,41
2022,2,20,0
2022,2,19,0
2022,2,18,43
2022,2,17,34
2022,2,16,34
2022,2,15,38
2022,2,14,36
2022,2,13,0
2022,2,12,0
2022,2,11,41
2022,2,10,24
2022,2,9,18
2022,2,8,16
2022,1,30,7
2022,1,29,15
2022,1,28,36
2022,1,27,25
2022,1,26,51
2022,1,25,50
2022,1,24,68
2022,1,23,0
2022,1,22,2
2022,1,21,75
2022,1,20,72
2022,1,19,62
2022,1,18,56
2022,1,17,79
2022,1,16,0
2022,1,15,0
2022,1,14,94
2022,1,13,62
2022,1,12,49
2022,1,11,79
2022,1,10,72
2022,1,9,0
2022,1,8,7
2022,1,7,55
2022,1,6,64
2022,1,5,68
2022,1,4,56
2022,1,3,0
2022,1,2,0
2022,1,1,0
2021,12,31,79
2021,12,30,82
2021,12,29,81
2021,12,28,79
2021,12,27,92
2021,12,26,0
2021,12,25,0
2021,12,24,80
2021,12,23,75
2021,12,22,81
2021,12,21,64
2021,12,20,95
2021,12,19,1
2021,12,18,6
2021,12,17,68
2021,12,16,107
2021,12,15,95
2021,12,14,88
2021,12,13,99
2021,12,12,1
2021,12,11,18
2021,12,10,66
2021,12,9,102
2021,12,8,91
2021,12,7,91
2021,12,6,89
2021,12,5,3
2021,12,4,6
2021,12,3,92
2021,12,2,71
2021,12,1,82
2021,11,30,105
2021,11,29,119
2021,11,28,1
2021,11,27,9
2021,11,26,83
2021,11,25,94
2021,11,24,119
2021,11,23,91
2021,11,22,122
2021,11,21,6
2021,11,20,22
2021,11,19,94
2021,11,18,138
2021,11,17,146
2021,11,16,117
2021,11,15,163
2021,11,14,1
2021,11,13,1
2021,11,12,141
2021,11,11,137
2021,11,10,130
2021,11,9,115
2021,11,8,136
2021,11,7,2
2021,11,6,3
2021,11,5,103
2021,11,4,118
2021,11,3,124
2021,11,2,133
2021,11,1,131
2021,10,31,4
2021,10,30,7
2021,10,29,157
2021,10,28,141
2021,10,27,109
2021,10,26,139
2021,10,25,108
2021,10,24,1
2021,10,23,2
2021,10,22,131
2021,10,21,109
2021,10,20,137
2021,10,19,127
2021,10,18,124
2021,10,17,6
2021,10,16,9
2021,10,15,132
2021,10,14,132
2021,10,13,83
2021,10,12,79
2021,10,11,101
2021,10,10,7
2021,10,9,62
2021,10,8,61
2021,10,7,0
2021,10,6,0
2021,10,5,0
2021,10,4,0
2021,10,3,0
2021,10,2,0
2021,10,1,7
2021,9,30,78
2021,9,29,71
2021,9,28,87
2021,9,27,103
2021,9,26,107
2021,9,25,4
2021,9,24,113
2021,9,23,96
2021,9,22,110
2021,9,21,2
2021,9,20,0
2021,9,19,4
2021,9,18,87
2021,9,17,99
2021,9,16,88
2021,9,15,98
2021,9,14,102
2021,9,13,98
2021,9,12,0
2021,9,11,0
2021,9,10,103
2021,9,9,97
2021,9,8,94
2021,9,7,87
2021,9,6,84
2021,9,5,0
2021,9,4,0
2021,9,3,90
2021,9,2,80
2021,9,1,100
2021,8,31,97
2021,8,30,88
2021,8,29,0
2021,8,28,0
2021,8,27,124
2021,8,26,100
2021,8,25,98
2021,8,24,107
2021,8,23,113
2021,8,22,0
2021,8,21,0
2021,8,20,105
2021,8,19,110
2021,8,18,110
2021,8,17,111
2021,8,16,132
2021,8,15,0
2021,8,14,0
2021,8,13,124
2021,8,12,76
2021,8,11,97
2021,8,10,99
2021,8,9,172
2021,8,8,0
2021,8,7,0
2021,8,6,136
2021,8,5,98
2021,8,4,113
2021,8,3,91
2021,8,2,121
2021,8,1,0
2021,7,31,0
2021,7,30,145
2021,7,29,136
2021,7,28,165
2021,7,27,119
2021,7,26,157
2021,7,25,0
2021,7,24,0
2021,7,23,150
2021,7,22,147
2021,7,21,126
2021,7,20,142
2021,7,19,134
2021,7,18,0
2021,7,17,0
2021,7,16,160
2021,7,15,141
2021,7,14,117
2021,7,13,168
2021,7,12,160
2021,7,11,0
2021,7,10,0
2021,7,9,174
2021,7,8,142
2021,7,7,128
2021,7,6,136
2021,7,5,126
2021,7,4,0
2021,7,3,0
2021,7,2,147
2021,7,1,134
2021,6,30,137
2021,6,29,153
2021,6,28,156
2021,6,27,0
2021,6,26,0
2021,6,25,149
2021,6,24,142
2021,6,23,115
2021,6,22,142
2021,6,21,167
2021,6,20,0
2021,6,19,0
2021,6,18,146
2021,6,17,118
2021,6,16,147
2021,6,15,152
2021,6,14,0
2021,6,13,0
2021,6,12,0
2021,6,11,167
2021,6,10,163
2021,6,9,126
2021,6,8,145
2021,6,7,150
2021,6,6,0
2021,6,5,0
2021,6,4,183
2021,6,3,154
2021,6,2,149
2021,6,1,149
2021,5,31,218
2021,5,30,0
2021,5,29,0
2021,5,28,203
2021,5,27,179
2021,5,26,159
2021,5,25,181
2021,5,24,174
2021,5,23,0
2021,5,22,0
2021,5,21,213
2021,5,20,171
2021,5,19,224
2021,5,18,257
2021,5,17,241
2021,5,16,0
2021,5,15,0
2021,5,14,293
2021,5,13,215
2021,5,12,159
2021,5,11,172
2021,5,10,175
2021,5,9,0
2021,5,8,164
2021,5,7,147
2021,5,6,147
2021,5,5,0
2021,5,4,0
2021,5,3,0
2021,5,2,0
2021,5,1,0
2021,4,30,180
2021,4,29,170
2021,4,28,164
2021,4,27,206
2021,4,26,259
2021,4,25,197
2021,4,24,0
2021,4,23,293
2021,4,22,225
2021,4,21,236
2021,4,20,243
2021,4,19,296
2021,4,18,0
2021,4,17,0
2021,4,16,288
2021,4,15,243
2021,4,14,280
2021,4,13,288
2021,4,12,322
2021,4,11,0
2021,4,10,0
2021,4,9,376
2021,4,8,294
2021,4,7,225
2021,4,6,226
2021,4,5,0
2021,4,4,0
2021,4,3,0
2021,4,2,252
2021,4,1,249
2021,3,31,232
2021,3,30,274
2021,3,29,319
2021,3,28,0
2021,3,27,0
2021,3,26,338
2021,3,25,278
2021,3,24,300
2021,3,23,300
2021,3,22,297
2021,3,21,0
2021,3,20,0
2021,3,19,326
2021,3,18,307
2021,3,17,312
2021,3,16,340
2021,3,15,367
2021,3,14,0
2021,3,13,0
2021,3,12,389
2021,3,11,355
2021,3,10,343
2021,3,9,332
2021,3,8,357
2021,3,7,0
2021,3,6,3
2021,3,5,399
2021,3,4,318
2021,3,3,278
2021,3,2,311
2021,3,1,341
2021,2,28,0
2021,2,27,0
2021,2,26,366
2021,2,25,271
2021,2,24,241
2021,2,23,233
2021,2,22,209
2021,2,21,0
2021,2,20,173
2021,2,19,161
2021,2,18,84
2021,2,10,138
2021,2,9,176
2021,2,8,177
2021,2,7,283
2021,2,6,0
2021,2,5,419
2021,2,4,401
2021,2,3,406
2021,2,2,401
2021,2,1,417
2021,1,31,0
2021,1,30,0
2021,1,29,541
2021,1,28,440
2021,1,27,401
2021,1,26,419
2021,1,25,463
2021,1,24,0
2021,1,23,0
2021,1,22,523
2021,1,21,427
2021,1,20,374
